index,num_trials,num_successes,volume_quality,epsilon_quality,grasp_fnm
0,10,0,0.0,-1.0,grasp_0000.npy
1,10,10,0.021893001901357245,0.00936525732147317,grasp_0001.npy
2,10,10,0.024236398932193825,0.005647049795426989,grasp_0002.npy
3,10,5,0.0,-1.0,grasp_0003.npy
4,10,0,0.0,-1.0,grasp_0004.npy
5,10,10,0.054373346159441636,0.02768285020192138,grasp_0005.npy
6,10,10,0.05028845864862439,0.0137524392713404,grasp_0006.npy
7,10,10,0.02375802318455881,0.009343887895844824,grasp_0007.npy
8,10,0,0.0,-1.0,grasp_0008.npy
9,10,10,0.0,-1.0,grasp_0009.npy
10,10,0,0.0,-1.0,grasp_0010.npy
11,10,10,0.0,-1.0,grasp_0011.npy
12,10,10,0.0,-1.0,grasp_0012.npy
13,10,10,0.10915336505900478,0.06381531049478567,grasp_0013.npy
14,10,10,0.0,-1.0,grasp_0014.npy
15,10,9,0.0,-1.0,grasp_0015.npy
16,10,10,0.07351205493662007,0.03333629499365178,grasp_0016.npy
17,10,10,0.05251423080030537,-1.0,grasp_0017.npy
18,10,0,0.0,-1.0,grasp_0018.npy
19,10,0,0.0,-1.0,grasp_0019.npy
20,10,10,0.0,-1.0,grasp_0020.npy
21,10,10,0.0,-1.0,grasp_0021.npy
22,10,10,0.028075775478991555,0.01757221065233655,grasp_0022.npy
23,10,10,0.24183917333173754,0.024629397309652704,grasp_0023.npy
24,10,10,0.0,-1.0,grasp_0024.npy
25,10,10,0.0,-1.0,grasp_0025.npy
26,10,10,0.0,-1.0,grasp_0026.npy
27,10,10,0.0,-1.0,grasp_0027.npy
28,10,10,0.0,-1.0,grasp_0028.npy
29,10,0,0.0,-1.0,grasp_0029.npy
30,10,10,0.0,-1.0,grasp_0030.npy
31,10,10,0.1190675256813373,0.002847077970391347,grasp_0031.npy
32,10,10,0.0,-1.0,grasp_0032.npy
33,10,10,0.035323609819124496,0.020871419494677385,grasp_0033.npy
34,10,0,0.06483814535845114,0.030610634960706984,grasp_0034.npy
